,Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Model Order
0,A,0.14240000000000003,0.13849418760366805,3.0266,4.715628424717113,"(0, 1, 1)"
1,AAL,0.0226,0.012939860895697451,1.5904,1.0055336095824943,"(1, 1, 1)"
2,AAPL,0.1008,0.06000133331851884,4.056399999999999,5.726731898735961,"(1, 1, 0)"
3,ABBV,0.3068,0.3812460622747466,3.5552000000000006,1.9693084471458502,"(2, 1, 1)"
4,ABNB,0.0475,0.023499999999999997,0.614,0.41000000000000003,"(1, 1, 2)"
5,ABT,0.1528,0.17491072008313271,1.9798000000000002,1.2713094666523963,"(0, 1, 0)"
6,ACGL,0.0804,0.07208217532788531,3.0694,3.7889539770232097,"(0, 1, 1)"
7,ACN,0.31999999999999995,0.4515688208900167,1.9402000000000001,0.734583528266187,"(3, 1, 1)"
8,ADBE,0.0698,0.06415418926305591,3.521,3.2077627717772397,"(3, 1, 0)"
9,ADI,0.2238,0.22842889484476345,0.9697999999999999,0.40257193146070186,"(0, 1, 1)"
10,ADM,0.1794,0.18806871084792387,2.5789999999999997,1.954486735693031,"(2, 1, 0)"
11,ADP,0.2968,0.3720421481499106,29.905400000000004,35.131689037676516,"(1, 1, 0)"
12,ADSK,0.084,0.11816429240680114,3.7896,3.0738237815463654,"(3, 1, 1)"
13,AEE,0.0758,0.04166245312028566,0.8396000000000001,0.33273028115877884,"(1, 0, 0)"
14,AEP,0.1004,0.10710107375745587,1.0535999999999999,1.0988311244226747,"(0, 1, 1)"
15,AES,0.075,0.07246240404513225,3.2714000000000008,3.6820247473367154,"(0, 1, 1)"
16,AFL,0.06720000000000001,0.07306545011152672,1.8801999999999999,1.7389224709572306,"(1, 1, 0)"
17,AIG,0.06480000000000001,0.04593647787978526,1.3434000000000001,0.5825017081520019,"(1, 1, 0)"
18,AIZ,0.0606,0.053652958911881085,2.0813999999999995,1.236075984719386,"(0, 1, 1)"
19,AJG,0.057600000000000005,0.03127043331967116,1.5904,1.1901999159805043,"(0, 1, 0)"
20,AKAM,0.0274,0.02642423130386199,34582999624313.1,69165999248625.266,"(3, 1, 1)"
21,ALB,0.10880000000000001,0.10795814003584908,2.9296,2.7820677633731354,"(0, 1, 0)"
22,ALGN,0.04,0.036513011379506896,5.485200000000001,9.74176184065285,"(0, 1, 0)"
23,ALK,0.0832,0.10287351457007775,3.178,3.209621161445693,"(2, 1, 1)"
24,ALL,0.1498,0.17729230101727486,1.4532,0.5837223312500559,"(2, 1, 0)"
25,ALLE,0.09680000000000001,0.08942125027083887,2.4006,1.8822853768756747,"(0, 1, 2)"
