,Ticker,Average RMSE,Average MAPE
0,A,8.092,0.08399999999999999
1,AAL,4.82,0.15199999999999997
2,AAPL,7.814,0.088
3,ABBV,9.309999999999999,0.1
4,ABT,4.862,0.066
5,ACGL,2.4200000000000004,0.05800000000000001
6,ACN,12.518,0.068
7,ADBE,43.358000000000004,0.142
8,ADI,5.644,0.05600000000000001
9,ADM,4.8740000000000006,0.07999999999999999
10,ADP,9.02,0.064
11,ADSK,22.657999999999998,0.13199999999999998
12,AEE,2.75,0.049999999999999996
13,AEP,3.5780000000000003,0.052000000000000005
14,AES,1.182,0.06599999999999999
15,AFL,2.626,0.057999999999999996
16,AIG,3.2479999999999998,0.06600000000000002
17,AIZ,5.906000000000001,0.055999999999999994
18,AJG,6.9719999999999995,0.07
19,AKAM,8.068,0.096
20,ALB,12.57,0.098
21,ALGN,59.931999999999995,0.19
22,ALK,6.1739999999999995,0.10799999999999998
23,ALL,5.078,0.054000000000000006
24,ALLE,6.812,0.06200000000000001
25,AMAT,7.312,0.11400000000000002
26,AMCR,0.518,0.05
27,AMD,7.590000000000001,0.16599999999999998
28,AME,5.424,0.06000000000000001
29,AMGN,9.966,0.048
30,AMP,13.273999999999997,0.07999999999999999
31,AMT,9.61,0.05800000000000001
32,AMZN,12.446,0.124
33,ANET,7.587999999999999,0.10400000000000001
34,ANSS,20.8,0.076
35,AON,8.504000000000001,0.052000000000000005
36,AOS,3.9699999999999998,0.078
37,APA,4.966,0.13199999999999998
38,APD,11.552,0.055999999999999994
39,APH,3.018,0.06600000000000002
40,APTV,8.982,0.082
41,ARE,8.040000000000001,0.068
42,ATO,5.194000000000001,0.064
43,ATVI,5.65,0.09
44,AVB,9.930000000000001,0.054000000000000006
45,AVGO,24.814,0.10400000000000001
46,AVY,9.806000000000001,0.078
47,AWK,6.858,0.066
48,AXON,13.478,0.158
49,AXP,7.562,0.068
50,AZO,110.86399999999999,0.08399999999999999
51,BA,31.125999999999998,0.132
52,BAC,2.1719999999999997,0.07400000000000001
53,BALL,4.558,0.078
54,BAX,3.3400000000000007,0.052000000000000005
55,BBWI,5.302,0.11600000000000002
56,BBY,7.812,0.10800000000000001
