,n_estimators,max_depth,learning_rate,RMSE Avg.,RMSE Std.,MAPE Avg.,MAPE Std.,Accuracy
MMM,500,3,0.01,2.1112389881156455,1.4085183885974892,0.014126730304445428,0.010383208129545043,0.6
AOS,50,3,0.2,0.8183445190209058,0.2924023365739114,0.015373474820439737,0.00917331452748605,0.52
ABT,50,8,0.3,0.9330798130368547,0.39009423814615324,0.012601038345194156,0.011203815204848113,0.68
ABBV,100,3,0.1,1.2641110199302532,0.5785865835695089,0.0159794455348932,0.009622309332867169,0.32
ACN,100,8,0.3,3.2080874859756094,2.0990117548211393,0.013594595089535717,0.005799645077404066,0.6
ATVI,100,3,0.1,1.1505777525927239,0.44588434062522575,0.02136711726479932,0.011798597607397942,0.68
ADM,50,4,0.3,0.5184808901317073,0.1907760275812384,0.00998622568809108,0.006635978689012614,0.56
ADBE,50,5,0.2,9.649370160897858,8.67343631597227,0.022680055565480736,0.0075495439154209375,0.52
ADP,500,3,0.01,1.8566473797413667,0.7053295211406201,0.014500644654477271,0.014003156972804447,0.56
AES,100,8,0.1,0.2690850828813164,0.101135425580904,0.01665139680432296,0.006721103686574874,0.56
AFL,200,8,0.1,0.6450240123812213,0.3166260991408248,0.01263249622946525,0.008925339631345093,0.6
A,500,3,0.1,2.947717227760379,3.13433160981226,0.02692175693377997,0.01441596688685741,0.28
ABNB,200,3,0.01,3.3728854305158316,1.1797270522260779,0.022349259128819243,0.006698633088423531,0.6
APD,500,3,0.01,1.8131887494648287,0.6609700378792918,0.0075645910383057135,0.003108305251285875,0.64
AKAM,50,5,0.2,0.8706815928019582,0.41635353625381444,0.01025738360831879,0.006296994106523838,0.64
ALK,500,3,0.01,1.265794125615407,0.3115619714583328,0.017734204028642075,0.0018956897378852357,0.44
ALB,100,8,0.1,3.7670453573057143,1.6477866545797228,0.05410716845397916,0.051836119766137605,0.56
ARE,50,4,0.2,1.1955791782180119,0.6178014320719782,0.009494621368939854,0.006935214246547054,0.64
ALGN,200,3,0.3,4.841778649365873,3.5042106280850303,0.015403268527774034,0.002239006277306574,0.68
ALLE,500,4,0.3,1.4527657169343298,0.47697335566157884,0.013605800591554407,0.005597713453139363,0.36
LNT,500,3,0.1,0.5305975653655022,0.1509537105849264,0.012601816527468515,0.007190763623430242,0.44
ALL,50,3,0.2,1.4240786617661723,0.4357246680582797,0.014387855145214007,0.004377229362566077,0.52
GOOGL,100,8,0.1,1.8931122475102846,1.4759190857707511,0.019589165603381496,0.009120163741666416,0.48
GOOG,50,3,0.3,1.7337553337140772,1.2337881111824118,0.01849074133380413,0.008471728191416372,0.44
MO,50,3,0.1,0.4973238956559789,0.28113332291122917,0.011841817087695345,0.007218733779461049,0.52
AMZN,50,3,0.2,1.3224537575693711,0.4364319331401366,0.018089804594972655,0.013321294108468357,0.68
AMCR,500,3,0.2,0.2517462681077327,0.11807018264953248,0.02215752950143594,0.009523656733854144,0.6
AMD,50,3,0.2,2.048308200375967,1.9052629617066354,0.029774779124298472,0.007874086378221798,0.6
AEE,50,3,0.1,0.7731473154289157,0.3327430993660487,0.012514989908421852,0.008181377252435338,0.52
AAL,50,3,0.3,0.9867945728516228,0.5622133640740481,0.029731002772739695,0.018468488492180378,0.6
AEP,100,3,0.3,0.8355282700300235,0.23489847061577818,0.011465814587171056,0.006249830987631889,0.48
AXP,50,3,0.1,1.4646983657869233,0.7915662227714764,0.009977576895238184,0.005265057476962506,0.56
AIG,50,5,0.3,0.7572313750013733,0.6592799450862666,0.013431057798564914,0.012567908893283618,0.68
AMT,100,8,0.2,2.9572112423459718,0.3517456691920744,0.017453003555622786,0.006835307918506737,0.44
AWK,200,3,0.2,1.4673604194440315,0.5820891657224082,0.012259074634419978,0.00352643487645208,0.48
AMP,500,5,0.01,2.576255098278142,0.9370560881178693,0.014198580270062416,0.005216289802695587,0.48
AME,50,3,0.2,0.9778901362427324,0.5611415387967428,0.010121768584982151,0.008433924043860596,0.64
AMGN,50,3,0.1,3.1371303866236113,1.8526047248221142,0.01659653988381999,0.011719331737345967,0.44
APH,100,4,0.2,0.975200408562445,0.4438375336493302,0.017980007490567995,0.007852402981408753,0.44
ADI,50,8,0.1,1.9282078311255355,0.5592711276777551,0.01828151234838492,0.011527977273958562,0.52
ANSS,500,4,0.1,2.907888431016061,1.0533753764326836,0.012681967112885861,0.007388698050205099,0.8
AON,100,3,0.2,2.5223851268628508,1.3587123581491392,0.013162583506210324,0.00910697800857033,0.52
APA,50,8,0.3,1.440093477319574,1.5097649033358032,0.04371456033023292,0.03995732698678797,0.52
